property_type,society,price,sector,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
flat,ireo skyon,2.12,sector 60,15531.0,1365.0,Super Built up area 1365(126.81 sq.m.)Built Up area: 1350 sq.ft. (125.42 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),2,2,2,2.0,North-East,Relatively New,1365.0,1350.0,1300.0,0,0,0,1,0,2,174.0,682.5
flat,supertech araville,0.78,sector 79,6023.0,1295.0,Super Built up area 1295(120.31 sq.m.),2,2,3+,17.0,,Relatively New,1295.0,,,0,0,0,0,0,1,24.0,647.5
flat,sidhartha ncr one,0.56,sector 95,4106.0,1364.0,Built Up area: 1364 (126.72 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,2,10.0,,Undefined,,1364.0,1200.0,0,0,0,0,0,1,0.0,682.0
flat,ss the leaf,2.1,sector 85,8720.0,2408.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3+,6.0,North,Relatively New,2408.0,,1685.0,0,1,0,0,0,1,156.0,802.6666666666666
flat,alpha corp gurgaonone,1.52,sector 84,7904.0,1923.0,Super Built up area 1923(178.65 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,4,3,15.0,South,Relatively New,1923.0,,1500.0,0,1,0,0,0,1,92.0,641.0
house,,9.85,a block sector 43,29642.0,3323.0,Plot area 418(349.5 sq.m.),5,5,2,3.0,West,Old Property,,418.0,,1,1,0,1,0,1,21.0,664.6
flat,emaar gurgaon greens,1.35,sector 102,10800.0,1250.0,Super Built up area 1650(153.29 sq.m.)Built Up area: 1400 sq.ft. (130.06 sq.m.)Carpet area: 1250 sq.ft. (116.13 sq.m.),3,4,3+,9.0,North-East,Relatively New,1650.0,1400.0,1250.0,0,1,0,1,0,2,174.0,416.6666666666667
flat,corona optus,1.27,sector 37c,7231.0,1756.0,Super Built up area 1763(163.79 sq.m.),3,3,3,2.0,South,Relatively New,1763.0,,,0,0,0,0,1,1,49.0,585.3333333333334
flat,signature global synera,0.48,sector 81,8450.0,568.0,Super Built up area 657(61.04 sq.m.)Carpet area: 568 sq.ft. (52.77 sq.m.),2,2,1,7.0,South-East,Relatively New,657.0,,568.0,0,0,0,0,0,2,70.0,284.0
flat,sunischit apartments,1.75,sector 54,7954.0,2200.0,Super Built up area 2200(204.39 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,4,3+,5.0,East,Moderately Old,2200.0,1900.0,1700.0,0,1,0,0,0,2,83.0,733.3333333333334
flat,raheja vedaanta,0.95,sector 108,5214.0,1822.0,Super Built up area 1822(169.27 sq.m.),3,3,3,3.0,,Relatively New,1822.0,,,0,0,0,0,1,1,95.0,607.3333333333334
house,signature global park,0.85,sohna,7589.0,1120.0,Built Up area: 1120 (104.05 sq.m.),3,2,2,1.0,,Under Construction,,1120.0,,0,0,0,0,0,1,15.0,373.3333333333333
flat,chintamani,1.57,sector 103,8509.0,1845.0,Built Up area: 1845 (171.41 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,3,1.0,North-East,Undefined,,1845.0,1350.0,0,0,0,0,0,1,0.0,615.0
flat,vatika boulevard residences and heights,1.42,sector 83,8000.0,1775.0,Carpet area: 1775 (164.9 sq.m.),3,3,2,2.0,West,Relatively New,,,1775.0,0,0,0,0,0,2,113.0,591.6666666666666
flat,capital residences 360,1.1,sector 70a,7586.0,1450.0,Super Built up area 1450(134.71 sq.m.),2,2,2,10.0,South-East,Relatively New,1450.0,,,1,0,0,0,0,1,42.0,725.0
house,,0.45,sector 11,8007.0,562.0,Plot area 562(52.21 sq.m.),3,2,1,1.0,North-East,Old Property,,562.0,,0,0,0,0,0,1,15.0,187.33333333333334
flat,godrej air,1.4,sector 85,10000.0,1400.0,Built Up area: 1400 (130.06 sq.m.)Carpet area: 900 sq.ft. (83.61 sq.m.),2,2,3,23.0,,Undefined,,1400.0,900.0,0,0,0,0,0,1,44.0,700.0
house,ninex city,1.75,sector 76,6250.0,2800.0,Carpet area: 2800 (260.13 sq.m.),4,4,No,14.0,,Undefined,,,2800.0,0,0,0,0,0,1,0.0,700.0
flat,ireo victory valley,3.65,sector 67,13528.0,2698.0,Super Built up area 2698(250.65 sq.m.)Built Up area: 2490 sq.ft. (231.33 sq.m.),3,4,3+,18.0,North,Relatively New,2698.0,2490.0,,0,1,0,1,0,2,61.0,899.3333333333334
house,,3.25,sector 25,30374.0,1070.0,Plot area 1069.63(99.37 sq.m.),4,4,3,3.0,,Old Property,,1069.63,,0,0,0,0,0,1,15.0,267.5
house,dlf new town heights,2.5,sector 86,7827.0,3194.0,Plot area 3194(296.73 sq.m.),4,5,3+,4.0,West,Moderately Old,,3194.0,,0,1,0,1,1,2,49.0,798.5
