column_1,column_2,normalized_1,normalized_2,similarity
KIIT College of Engineering Sohna Road,KIIT College of Engineering,kiit college of engineering sohna road,kiit college of engineering,83.08
CD International School,Broadways International School,cd international school,broadways international school,83.02
Miracles Apollo Cradle,miracles apollo cradle hospital,miracles apollo cradle,miracles apollo cradle hospital,83.02
Southern Peripheral Rd,"Southern Peripheral Rd, Gurugram",southern peripheral rd,southern peripheral rd gurugram,83.02
Narayana E Techno,Narayana e Techno School,narayana e techno,narayana e techno school,82.93
"Euro International School, Sector- 109.",RPS International School Sector 89,euro international school sector 109,rps international school sector 89,82.86
"Euro International School, Sector- 109",RPS International School Sector 89,euro international school sector 109,rps international school sector 89,82.86
Genesis Hospital,ESIC Hospital,genesis hospital,esic hospital,82.76
Genesis Hospital,ESIC HOSPITAL,genesis hospital,esic hospital,82.76
Enkays Hospital,ektaa hospital,enkays hospital,ektaa hospital,82.76
CNG Petrol Pump,HP Petrol Pump,cng petrol pump,hp petrol pump,82.76
Aryan Hospital,Ananta Hospital,aryan hospital,ananta hospital,82.76
Sethi Hospital,Shivai Hospital,sethi hospital,shivai hospital,82.76
RPS International School,RPS International School Sector 89,rps international school,rps international school sector 89,82.76
Park Hospital,Polaris Hospital,park hospital,polaris hospital,82.76
Park Hospital,Prakash Hospital,park hospital,prakash hospital,82.76
rapid metro station sector 55 56,sector 53 54 metro station,rapid metro station sector 55 56,sector 53 54 metro station,82.76
Delhi Jaipur Expressway,Delhi-Mumbai Expressway,delhi jaipur expressway,delhi mumbai expressway,82.61
Delhi - Jaipur Expressway,Delhi-Mumbai Expressway,delhi jaipur expressway,delhi mumbai expressway,82.61
Royal Institute Of Science,Royal Institute Of Science & Management,royal institute of science,royal institute of science management,82.54
Indus World School,Mps World School,indus world school,mps world school,82.35
Holiday Inn Gurugram Sector 90,Holiday Inn Sector 90,holiday inn gurugram sector 90,holiday inn sector 90,82.35
Heritage Xperiential Learning School,"Heritage Xperiential Learning, CRPF Rd",heritage xperiential learning school,heritage xperiential learning crpf rd,82.19
Sector 42-43 Metro Station,Dwarka sector 21 metro station,sector 42 43 metro station,dwarka sector 21 metro station,82.14
Pranavananda Int. School,Pranavananda International School,pranavananda int school,pranavananda international school,82.14
"Dwarka Sector 21, Metro Station",Sector 42-43 Metro Station,dwarka sector 21 metro station,sector 42 43 metro station,82.14
National Tennis Academy Sector 98,National Tennis Academy,national tennis academy sector 98,national tennis academy,82.14
"Dwarka Sector 21, Metro Station",Sector 42-43 Metro station,dwarka sector 21 metro station,sector 42 43 metro station,82.14
Sector 42-43 Metro Station,Dwarka Sector 21 Metro station,sector 42 43 metro station,dwarka sector 21 metro station,82.14
Dwarka Sector 21 Metro Station,Sector 42-43 Metro station,dwarka sector 21 metro station,sector 42 43 metro station,82.14
Dwarka sector 21 metro station,Sector 42-43 Metro station,dwarka sector 21 metro station,sector 42 43 metro station,82.14
RPS International School,ORCHIDS The International School,rps international school,orchids the international school,82.14
Dwarka Sector 21 Metro station,Sector 42-43 Metro station,dwarka sector 21 metro station,sector 42 43 metro station,82.14
Dwarka Sector 21 Metro Station,Sector 42-43 Metro Station,dwarka sector 21 metro station,sector 42 43 metro station,82.14
Delhi Public School,Lovely Public School,delhi public school,lovely public school,82.05
AIPL Business Tower,AIPL Business Centre,aipl business tower,aipl business centre,82.05
GD Goenka Public School,GD Goenka School,gd goenka public school,gd goenka school,82.05
Swastik Hospital Sec 66,Swastik Hospital,swastik hospital sec 66,swastik hospital,82.05
Indus World School,Glorious World School,indus world school,glorious world school,82.05
Lions Public School,Lovely Public School,lions public school,lovely public school,82.05
Euro International School,euro international school sector 37d,euro international school,euro international school sector 37d,81.97
"Euro International School, Sector- 109",Euro International School,euro international school sector 109,euro international school,81.97
Euro International School,"Euro International School, Sector- 109.",euro international school,euro international school sector 109,81.97
Axis Bank,Axis Bank ATM,axis bank,axis bank atm,81.82
HDFC Bank,HDFC bank ATM,hdfc bank,hdfc bank atm,81.82
HDFC Bank ATM,HDFC Bank,hdfc bank atm,hdfc bank,81.82
Sector 55-56 metro,sector 55 56 metro station,sector 55 56 metro,sector 55 56 metro station,81.82
Sector 55-56 Metro,sector 55 56 metro station,sector 55 56 metro,sector 55 56 metro station,81.82
National Tennis Academy,Shanti Tennis Academy,national tennis academy,shanti tennis academy,81.82
Creative Tennis Academy,Shanti Tennis Academy,creative tennis academy,shanti tennis academy,81.82
GD Goenka Public School,GD Goenka High School,gd goenka public school,gd goenka high school,81.82
RPS International School,Gems International School,rps international school,gems international school,81.63
RPS International School,Euro International School,rps international school,euro international school,81.63
RPS International School,GEMS International School,rps international school,gems international school,81.63
